campaign_key,campaign_name,campaign_type,Sum of budget,Year,Quarter,Month,Day,Year,Quarter,Month,Day
CPG001,Spring Launch 2020,Product Launch,150000,2020,Qtr 2,May,31,2020,Qtr 1,March,1
CPG002,Summer Sale 2020,Promotional,200000,2020,Qtr 3,August,31,2020,Qtr 2,June,1
CPG003,Back to School 2020,Seasonal,125000,2020,Qtr 3,September,30,2020,Qtr 3,August,1
CPG004,Holiday Campaign 2020,Seasonal,300000,2020,Qtr 4,December,31,2020,Qtr 4,November,1
CPG005,New Year Fresh Start 2021,Brand Awareness,175000,2021,Qtr 1,February,28,2021,Qtr 1,January,1
CPG006,Spring Collection 2021,Product Launch,180000,2021,Qtr 2,May,31,2021,Qtr 1,March,1
CPG007,Summer Essentials 2021,Promotional,225000,2021,Qtr 3,August,31,2021,Qtr 2,June,1
CPG008,Back to School 2021,Seasonal,140000,2021,Qtr 3,September,30,2021,Qtr 3,August,1
CPG009,Fall Fashion 2021,Seasonal,160000,2021,Qtr 4,November,15,2021,Qtr 3,September,15
CPG010,Black Friday 2021,Promotional,400000,2021,Qtr 4,November,30,2021,Qtr 4,November,20
CPG011,Holiday Gift Guide 2021,Seasonal,350000,2021,Qtr 4,December,31,2021,Qtr 4,November,1
CPG012,New Year Resolution 2022,Brand Awareness,200000,2022,Qtr 1,February,28,2022,Qtr 1,January,1
CPG013,Spring Refresh 2022,Product Launch,210000,2022,Qtr 2,May,31,2022,Qtr 1,March,1
CPG014,Summer Adventure 2022,Promotional,250000,2022,Qtr 3,August,31,2022,Qtr 2,June,1
CPG015,Back to School 2022,Seasonal,155000,2022,Qtr 3,September,30,2022,Qtr 3,August,1
CPG016,Fall Preview 2022,Seasonal,175000,2022,Qtr 4,November,15,2022,Qtr 3,September,15
CPG017,Black Friday Mega Sale 2022,Promotional,450000,2022,Qtr 4,November,30,2022,Qtr 4,November,20
CPG018,Holiday Spectacular 2022,Seasonal,380000,2022,Qtr 4,December,31,2022,Qtr 4,November,1
CPG019,New Year New You 2023,Brand Awareness,220000,2023,Qtr 1,February,28,2023,Qtr 1,January,1
CPG020,Spring Forward 2023,Product Launch,240000,2023,Qtr 2,May,31,2023,Qtr 1,March,1
CPG021,Summer Vibes 2023,Promotional,275000,2023,Qtr 3,August,31,2023,Qtr 2,June,1
CPG022,Back to School 2023,Seasonal,170000,2023,Qtr 3,September,30,2023,Qtr 3,August,1
CPG023,Fall Favorites 2023,Seasonal,190000,2023,Qtr 4,November,15,2023,Qtr 3,September,15
CPG024,Black Friday Blowout 2023,Promotional,500000,2023,Qtr 4,November,30,2023,Qtr 4,November,20
CPG025,Holiday Magic 2023,Seasonal,420000,2023,Qtr 4,December,31,2023,Qtr 4,November,1
CPG026,New Year Transformation 2024,Brand Awareness,250000,2024,Qtr 1,February,29,2024,Qtr 1,January,1
CPG027,Spring Awakening 2024,Product Launch,270000,2024,Qtr 2,May,31,2024,Qtr 1,March,1
CPG028,Summer Escape 2024,Promotional,300000,2024,Qtr 3,August,31,2024,Qtr 2,June,1
CPG029,Back to School 2024,Seasonal,185000,2024,Qtr 3,September,30,2024,Qtr 3,August,1
CPG030,Fall Trends 2024,Seasonal,210000,2024,Qtr 4,November,15,2024,Qtr 3,September,15
CPG031,Black Friday Ultimate 2024,Promotional,550000,2024,Qtr 4,November,30,2024,Qtr 4,November,20
CPG032,Holiday Wonder 2024,Seasonal,450000,2024,Qtr 4,December,31,2024,Qtr 4,November,1
